#  time               r              phi             Phi             Pi            delta              A            Ricci
0.0000000000    0.1413716694    1.0143916016   -1.1783483667    0.0000000000   -0.0071348080    0.9871449955   -5.1971511248
0.0000000000    0.2827433388    0.7848103065   -1.9780297708    0.0000000000   -0.0890843213    0.9151659940   -2.9323428449
0.0000000000    0.4241150082    0.4866737218   -2.1163189481    0.0000000000   -0.2934267589    0.7978187215   -5.1162702844
0.0000000000    0.5654866776    0.2196639432   -1.5643709025    0.0000000000   -0.5031377203    0.7454239549   -9.2060224242
0.0000000000    0.7068583471    0.0594568114   -0.7025859674    0.0000000000   -0.5929141858    0.7949781030  -11.5320484277
0.0000000000    0.8482300165    0.0064027337   -0.1328501519    0.0000000000   -0.6047653314    0.8766650965  -11.9863028215
0.0000000000    0.9896016859    0.0001036032   -0.0041859879    0.0000000000   -0.6049967229    0.9365445105  -11.9999900639
0.0000000000    1.1309733553    0.0000000157   -0.0000014732    0.0000000000   -0.6049968279    0.9726603494  -12.0000000000
0.0000000000    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -0.6049968279    0.9914756404  -12.0000000000
0.0000000000    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -0.6049968279    0.9987578263  -12.0000000000
