#     r             phi             Phi             Pi             Ricci
0.0000000000    1.0999908463    0.0000000000   -0.0232946733   -7.1611658359
0.0015707963    1.0999799898   -0.0138229022   -0.0232946733   -7.1608792228
0.0031415927    1.0999474206   -0.0275267255   -0.0232946733   -7.1600325360
0.0047123890    1.0998935126   -0.0413063010   -0.0223590160   -7.1585245508
0.0062831853    1.0998176539   -0.0552246111   -0.0220296083   -7.1564758912
0.0078539816    1.0997200205   -0.0690728123   -0.0218695079   -7.1538786970
0.0094247780    1.0996006567   -0.0829006159   -0.0217816573   -7.1507190407
0.0109955743    1.0994595823   -0.0967184027   -0.0217272652   -7.1469927799
0.0125663706    1.0992968089   -0.1105294548   -0.0216904083   -7.1426987506
0.0141371669    1.0991123460   -0.1243347069   -0.0216635160   -7.1378370115
0.0157079633    1.0989062025   -0.1381342743   -0.0216426154   -7.1324082099
0.0172787596    1.0986783873   -0.1519279379   -0.0216254577   -7.1264133406
0.0188495559    1.0984289099   -0.1657153266   -0.0216106921   -7.1198536422
0.0204203522    1.0981577806   -0.1794959944   -0.0215974672   -7.1127305474
0.0219911486    1.0978650103   -0.1932694554   -0.0215852254   -7.1050456576
0.0235619449    1.0975506107   -0.2070352017   -0.0215735886   -7.0968007292
0.0251327412    1.0972145943   -0.2207927127   -0.0215622937   -7.0879976653
0.0267035376    1.0968569745   -0.2345414596   -0.0215511528   -7.0786385113
0.0282743339    1.0964777655   -0.2482809093   -0.0215400292   -7.0687254512
0.0298451302    1.0960769822   -0.2620105252   -0.0215288212   -7.0582608063
0.0314159265    1.0956546405   -0.2757297690   -0.0215174525   -7.0472470336
0.0329867229    1.0952107573   -0.2894381011   -0.0215058647   -7.0356867248
0.0345575192    1.0947453499   -0.3031349812   -0.0214940125   -7.0235826054
0.0361283155    1.0942584369   -0.3168198683   -0.0214818609   -7.0109375348
0.0376991118    1.0937500375   -0.3304922213   -0.0214693820   -6.9977545050
0.0392699082    1.0932201718   -0.3441514989   -0.0214565537   -6.9840366411
0.0408407045    1.0926688608   -0.3577971600   -0.0214433586   -6.9697872004
0.0424115008    1.0920961263   -0.3714286633   -0.0214297825   -6.9550095720
0.0439822972    1.0915019910   -0.3850454678   -0.0214158141   -6.9397072772
0.0455530935    1.0908864783   -0.3986470328   -0.0214014442   -6.9238839685
0.0471238898    1.0902496126   -0.4122328175   -0.0213866657   -6.9075434297
0.0486946861    1.0895914192   -0.4258022817   -0.0213714725   -6.8906895753
0.0502654825    1.0889119241   -0.4393548854   -0.0213558601   -6.8733264508
0.0518362788    1.0882111543   -0.4528900887   -0.0213398248   -6.8554582316
0.0534070751    1.0874891374   -0.4664073524   -0.0213233637   -6.8370892233
0.0549778714    1.0867459020   -0.4799061374   -0.0213064746   -6.8182238612
0.0565486678    1.0859814777   -0.4933859050   -0.0212891559   -6.7988667096
0.0581194641    1.0851958947   -0.5068461171   -0.0212714067   -6.7790224620
0.0596902604    1.0843891842   -0.5202862357   -0.0212532262   -6.7586959403
0.0612610567    1.0835613781   -0.5337057236   -0.0212346142   -6.7378920944
0.0628318531    1.0827125093   -0.5471040436   -0.0212155707   -6.7166160020
0.0644026494    1.0818426114   -0.5604806593   -0.0211960961   -6.6948728680
0.0659734457    1.0809517190   -0.5738350346   -0.0211761909   -6.6726680240
0.0675442421    1.0800398674   -0.5871666341   -0.0211558558   -6.6500069276
0.0691150384    1.0791070928   -0.6004749225   -0.0211350920   -6.6268951623
0.0706858347    1.0781534323   -0.6137593654   -0.0211139005   -6.6033384366
0.0722566310    1.0771789237   -0.6270194288   -0.0210922826   -6.5793425836
0.0738274274    1.0761836057   -0.6402545792   -0.0210702398   -6.5549135600
0.0753982237    1.0751675179   -0.6534642836   -0.0210477737   -6.5300574459
0.0769690200    1.0741307007   -0.6666480097   -0.0210248859   -6.5047804439
0.0785398163    1.0730731953   -0.6798052257   -0.0210015783   -6.4790888784
0.0801106127    1.0719950438   -0.6929354005   -0.0209778527   -6.4529891948
0.0816814090    1.0708962890   -0.7060380034   -0.0209537110   -6.4264879587
0.0832522053    1.0697769747   -0.7191125046   -0.0209291555   -6.3995918553
0.0848230016    1.0686371454   -0.7321583747   -0.0209041882   -6.3723076882
0.0863937980    1.0674768466   -0.7451750851   -0.0208788112   -6.3446423786
0.0879645943    1.0662961244   -0.7581621078   -0.0208530269   -6.3166029647
0.0895353906    1.0650950259   -0.7711189155   -0.0208268377   -6.2881966001
0.0911061870    1.0638735990   -0.7840449816   -0.0208002458   -6.2594305534
0.0926769833    1.0626318923   -0.7969397802   -0.0207732538   -6.2303122067
0.0942477796    1.0613699555   -0.8098027861   -0.0207458641   -6.2008490548
0.0958185759    1.0600878388   -0.8226334749   -0.0207180792   -6.1710487037
0.0973893723    1.0587855934   -0.8354313229   -0.0206899019   -6.1409188699
0.0989601686    1.0574632713   -0.8481958073   -0.0206613346   -6.1104673787
0.1005309649    1.0561209254   -0.8609264059   -0.0206323801   -6.0797021633
0.1021017612    1.0547586093   -0.8736225973   -0.0206030411   -6.0486312633
0.1036725576    1.0533763774   -0.8862838612   -0.0205733203   -6.0172628231
0.1052433539    1.0519742850   -0.8989096778   -0.0205432205   -5.9856050912
0.1068141502    1.0505523882   -0.9114995282   -0.0205127445   -5.9536664177
0.1083849465    1.0491107439   -0.9240528947   -0.0204818951   -5.9214552540
0.1099557429    1.0476494098   -0.9365692599   -0.0204506753   -5.8889801500
0.1115265392    1.0461684444   -0.9490481079   -0.0204190879   -5.8562497536
0.1130973355    1.0446679071   -0.9614889232   -0.0203871358   -5.8232728083
0.1146681319    1.0431478580   -0.9738911915   -0.0203548221   -5.7900581518
0.1162389282    1.0416083581   -0.9862543995   -0.0203221496   -5.7566147143
0.1178097245    1.0400494692   -0.9985780347   -0.0202891213   -5.7229515163
0.1193805208    1.0384712537   -1.0108615856   -0.0202557404   -5.6890776675
0.1209513172    1.0368737751   -1.0231045417   -0.0202220097   -5.6550023639
0.1225221135    1.0352570975   -1.0353063935   -0.0201879324   -5.6207348869
0.1240929098    1.0336212859   -1.0474666327   -0.0201535115   -5.5862846002
0.1256637061    1.0319664061   -1.0595847517   -0.0201187502   -5.5516609489
0.1272345025    1.0302925246   -1.0716602444   -0.0200836514   -5.5168734563
0.1288052988    1.0285997087   -1.0836926053   -0.0200482184   -5.4819317223
0.1303760951    1.0268880267   -1.0956813303   -0.0200124543   -5.4468454214
0.1319468915    1.0251575474   -1.1076259165   -0.0199763621   -5.4116242998
0.1335176878    1.0234083406   -1.1195258618   -0.0199399450   -5.3762781736
0.1350884841    1.0216404768   -1.1313806654   -0.0199032063   -5.3408169260
0.1366592804    1.0198540273   -1.1431898278   -0.0198661489   -5.3052505053
0.1382300768    1.0180490642   -1.1549528506   -0.0198287762   -5.2695889222
0.1398008731    1.0162256604   -1.1666692365   -0.0197910913   -5.2338422473
0.1413716694    1.0143838894   -1.1783384896   -0.0197530974   -5.1980206085
0.1429424657    1.0125238258   -1.1899601150   -0.0197147977   -5.1621341883
