#     r             phi             Phi             Pi             Ricci
0.0000000000    0.3605194366    0.0000000000   -3.2116867008  -32.1099658713
0.0157079633    0.3586551578   -0.2521890322   -3.2116867008  -31.9299395500
0.0314159265    0.3526250562   -0.3346054372   -3.2116867008  -31.8004822970
0.0471238898    0.3481990387   -0.4001193529   -3.1432001018  -30.7519124196
0.0628318531    0.3401363979   -0.5555961874   -3.0475593306  -29.1814624943
0.0785398163    0.3308489518   -0.6741118139   -2.8864198237  -26.9071488167
0.0942477796    0.3190827241   -0.8063542912   -2.7111706638  -24.5186695304
0.1099557429    0.3056565450   -0.9099061286   -2.5057031631  -22.0322718743
0.1256637061    0.2906486017   -0.9984438812   -2.2892588638  -19.6775220547
0.1413716694    0.2744478107   -1.0652625637   -2.0613513304  -17.5179802358
0.1570796327    0.2573429269   -1.1130539634   -1.8282607839  -15.6245838936
0.1727875959    0.2396384026   -1.1420415680   -1.5938980253  -14.0329282682
0.1884955592    0.2216162405   -1.1535164003   -1.3628725764  -12.7584495312
0.2042035225    0.2035407555   -1.1488158012   -1.1393964017  -11.7955759487
0.2199114858    0.1856524882   -1.1295721700   -0.9273277237  -11.1215875927
0.2356194490    0.1681651249   -1.0975995975   -0.7299639687  -10.7009446922
0.2513274123    0.1512629405   -1.0548336263   -0.5499484890  -10.4901612935
0.2670353756    0.1350995768   -1.0032498461   -0.3892076450  -10.4425519509
0.2827433388    0.1197980081   -0.9447918474   -0.2489323621  -10.5123965548
0.2984513021    0.1054515484   -0.8813115374   -0.1295963570  -10.6582080731
0.3141592654    0.0921256608   -0.8145252715   -0.0310059629  -10.8449362792
0.3298672286    0.0798603160   -0.7459856245    0.0476251230  -11.0450896640
0.3455751919    0.0686726670   -0.6770668829    0.1075830313  -11.2388876055
0.3612831552    0.0585598492   -0.6089613030    0.1505495186  -11.4136494114
0.3769911184    0.0495017652   -0.5426828788    0.1784924997  -11.5626752200
0.3926990817    0.0414637667   -0.4790755927    0.1935567778  -11.6838758781
0.4084070450    0.0343991879   -0.4188236954    0.1979597603  -11.7783739600
0.4241150082    0.0282517186   -0.3624623197    0.1938962873  -11.8492405098
0.4398229715    0.0229576238   -0.3103875168    0.1834560084  -11.9004669982
0.4555309348    0.0184478241   -0.2628654940    0.1685559647  -11.9362117361
0.4712388980    0.0146498509   -0.2200413562    0.1508901326  -11.9603125098
0.4869468613    0.0114896782   -0.1819479485    0.1318966721  -11.9760258928
0.5026548246    0.0088934233   -0.1485154808    0.1127425542  -11.9859382541
0.5183627878    0.0067888981   -0.1195825012    0.0943242101  -11.9919911599
0.5340707511    0.0051069821   -0.0949085448    0.0772819561  -11.9955706321
0.5497787144    0.0037827870   -0.0741884661    0.0620252856  -11.9976213764
0.5654866776    0.0027565864   -0.0570681480    0.0487657474  -11.9987599940
0.5811946409    0.0019744879   -0.0431610044    0.0375540579  -11.9993727591
0.5969026042    0.0013888401   -0.0320645089    0.0283183147  -11.9996923801
0.6126105675    0.0009583777   -0.0233758937    0.0209006217  -11.9998539010
0.6283185307    0.0006481257   -0.0167061959    0.0150900401  -11.9999329156
0.6440264940    0.0004290916   -0.0116919512    0.0106504561  -11.9999702815
0.6597344573    0.0002777906   -0.0080040436    0.0073426300  -11.9999873302
0.6754424205    0.0001756500   -0.0053534754    0.0049403027  -11.9999948168
0.6911503838    0.0001083441   -0.0034940922    0.0032407268  -11.9999979717
0.7068583471    0.0000651073   -0.0022225437    0.0020703518  -11.9999992432
0.7225663103    0.0000380662   -0.0013759592    0.0012866015  -11.9999997317
0.7382742736    0.0000216238   -0.0008279400    0.0007767646  -11.9999999099
0.7539822369    0.0000119173   -0.0004835113    0.0004549800  -11.9999999715
0.7696902001    0.0000063627   -0.0002736427    0.0002581865  -11.9999999915
0.7853981634    0.0000032859   -0.0001498534    0.0001417317  -11.9999999976
0.8011061267    0.0000016389   -0.0000792822    0.0000751493  -11.9999999994
0.8168140899    0.0000007882   -0.0000404594    0.0000384260  -11.9999999998
0.8325220532    0.0000003649   -0.0000198840    0.0000189180  -12.0000000000
0.8482300165    0.0000001624   -0.0000093957    0.0000089534  -12.0000000000
0.8639379797    0.0000000694   -0.0000042621    0.0000040671  -12.0000000000
0.8796459430    0.0000000284   -0.0000018531    0.0000017705  -12.0000000000
0.8953539063    0.0000000111   -0.0000007712    0.0000007376  -12.0000000000
0.9110618695    0.0000000042   -0.0000003067    0.0000002936  -12.0000000000
0.9267698328    0.0000000015   -0.0000001165    0.0000001116  -12.0000000000
0.9424777961    0.0000000005   -0.0000000422    0.0000000404  -12.0000000000
0.9581857593    0.0000000002   -0.0000000145    0.0000000139  -12.0000000000
0.9738937226    0.0000000001   -0.0000000048    0.0000000046  -12.0000000000
0.9896016859    0.0000000000   -0.0000000015    0.0000000014  -12.0000000000
1.0053096491    0.0000000000   -0.0000000004    0.0000000004  -12.0000000000
1.0210176124    0.0000000000   -0.0000000001    0.0000000001  -12.0000000000
1.0367255757    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.0524335390    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.0681415022    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.0838494655    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.0995574288    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.1152653920    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.1309733553    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.1466813186    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.1623892818    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.1780972451    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.1938052084    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.2095131716    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.2252211349    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.2409290982    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.2566370614    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.2723450247    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.2880529880    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3037609512    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3194689145    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3351768778    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3508848410    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3665928043    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3823007676    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.3980087308    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.4137166941    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.4294246574    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.4451326207    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.4608405839    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.4765485472    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.4922565105    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.5079644737    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.5236724370    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.5393804003    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
1.5550883635    0.0000000000   -0.0000000000    0.0000000000  -12.0000000000
